Formula,formula_embedding,Volume,Density,Formation_Energy_per_atom,Energy_Above_Hull,Band_Gap_eV
LiSbO3,"[0.0804, -0.1814, -0.4211, -1.0608, 0.3342, 0.817, -0.1092, 0.6407]",115.3991935,5.085233538,-2.101960167,0.016233931,2.8256
NdZrO3,"[0.092, -0.2647, 0.2795, -0.8813, -0.5363, 0.9661, -0.1853, 0.3182]",142.9961403,6.583441724,-3.449507886,0.200031419,0
KBiO3,"[0.302, 0.1915, -0.1525, -0.877, -0.1534, 0.5436, 0.3928, 0.154]",512.6270581,5.75444372,-1.563133505,0.009451571,0.4906
TiCuO3,"[-0.1244, -0.4342, -0.0438, -1.1129, 0.1086, 0.7316, 0.6913, 0.7286]",60.86474175,4.349127552,-2.22870451,0.253246739,0
FeBiO3,"[-0.0747, -0.5475, -0.1745, -0.936, -0.0089, 0.85, 0.4138, 0.4769]",110.064839,4.71954362,0.428593821,2.103003105,0
SrCoO3,"[-0.0803, -0.8291, -0.2774, -1.3646, -0.7516, 0.9698, 0.0194, 0.1544]",232.1834069,5.565603438,-1.964504577,0.035315169,0
LaMnO3,"[0.1972, -0.3807, -0.336, -1.3283, -0.2073, 0.7632, -0.016, 0.544]",122.3987665,6.561955274,-2.919669006,0.215595795,0
AlCrO3,"[0.6062, -0.4338, 0.3327, -1.0106, 0.4937, 0.986, 0.8529, -0.0994]",54.56829642,3.863934818,-1.553811511,1.342757878,0
YVO3,"[0.2245, -0.1578, -0.6729, -0.7916, -0.0712, 0.9032, 0.1225, 0.5584]",59.63050756,5.230961248,-2.912386039,0.353291865,0
BaTiO3,"[-0.7306, -0.1754, 0.3053, -1.0678, -0.0532, 0.5847, 0.5354, 0.7663]",85.16422489,4.546800709,-1.684818114,1.807459864,0
SrRuO3,"[-0.1057, -0.6935, -0.1653, -0.8015, -0.3118, 1.0736, 0.2476, 0.3632]",89.21277547,4.405534977,-1.679872461,0.510739176,0
SrZrO3,"[0.0503, -0.4221, 0.0245, -1.1391, -0.4171, 0.991, 0.1361, 0.4664]",139.9638792,5.382536375,-3.644416242,0.017242587,3.1681
SrNbO3,"[0.3791, -0.5776, -0.4368, -0.9591, -0.4566, 1.0944, 0.2446, 0.2837]",267.1054531,5.682759201,-3.17865883,0.009586572,0
LaMnO3,"[0.1972, -0.3807, -0.336, -1.3283, -0.2073, 0.7632, -0.016, 0.544]",123.7243433,6.491650791,-2.968048728,0.167216073,0
NbAgO3,"[0.5622, -0.4773, -0.3746, -0.92, 0.0347, 1.1172, 0.3802, 0.3941]",127.9179809,6.458777992,-2.165201552,0.053432297,1.0243
SrCoO3,"[-0.0803, -0.8291, -0.2774, -1.3646, -0.7516, 0.9698, 0.0194, 0.1544]",112.9325384,5.721295147,-1.981533223,0.018286523,0
CsPuO3,"[0.0995, -0.3534, 0.0286, -1.1991, -0.4631, 0.6935, -0.124, 0.3295]",348.1134673,8.107346366,-2.807718801,0.080952522,0
PuTlO3,"[0.1333, -0.344, 0.1666, -0.4889, -0.4858, 0.4869, 0.1746, 0.433]",325.45671,10.13051318,-2.518833283,0,0
CaSiO3,"[0.0164, -0.3804, -0.0417, -0.62, -0.0543, 1.2824, 0.3714, 0.143]",94.00639676,4.103785435,-3.204318187,0.243730028,3.5146
NaNbO3,"[0.2774, -0.1808, -0.2754, -0.9901, -0.0109, 1.0914, 0.0486, 0.1744]",124.8139227,4.360939292,-2.81396374,0.030859025,1.5604
